Year,Month,Region,Cases,Data_Source,Notes
2025,6,KOTA YOGYAKARTA,43,current_2025,
2025,7,KAB BANTUL,55,current_2025,
2025,7,KAB GUNUNG KIDUL,37,current_2025,
2025,7,KAB KULON PROGO,86,current_2025,
2025,7,KAB SLEMAN,139,current_2025,
2025,7,KOTA YOGYAKARTA,23,current_2025,
2025,8,KAB BANTUL,41,current_2025,
2025,8,KAB GUNUNG KIDUL,23,current_2025,
2025,8,KAB KULON PROGO,75,current_2025,
2025,8,KAB SLEMAN,108,current_2025,
2025,8,KOTA YOGYAKARTA,21,current_2025,
2025,9,KAB BANTUL,59,current_2025,
2025,9,KAB GUNUNG KIDUL,57,current_2025,
2025,9,KAB KULON PROGO,64,current_2025,
2025,9,KAB SLEMAN,130,current_2025,
2025,9,KOTA YOGYAKARTA,19,current_2025,
2025,10,KAB BANTUL,58,current_2025,
2025,10,KAB GUNUNG KIDUL,44,current_2025,
2025,10,KAB KULON PROGO,61,current_2025,
2025,10,KAB SLEMAN,89,current_2025,
2025,10,KOTA YOGYAKARTA,6,current_2025,
2025,11,KAB BANTUL,66,current_2025,
2025,11,KAB GUNUNG KIDUL,74,current_2025,
2025,11,KAB KULON PROGO,41,current_2025,
2025,11,KAB SLEMAN,72,current_2025,
2025,11,KOTA YOGYAKARTA,14,current_2025,
2025,12,KAB BANTUL,36,current_2025,
2025,12,KAB GUNUNG KIDUL,53,current_2025,
2025,12,KAB KULON PROGO,52,current_2025,
2025,12,KAB SLEMAN,79,current_2025,
2025,12,KOTA YOGYAKARTA,10,current_2025,
