Epi_Year,Epi_Week,Region,NDVI,Data_Source,Is_Imputed
2021,48,KAB SLEMAN,0.66,modis_neo_csv,No
2021,48,KOTA YOGYAKARTA,0.538,modis_neo_csv,No
2021,49,KAB BANTUL,0.66,modis_neo_csv,No
2021,49,KAB GUNUNG KIDUL,0.79,modis_neo_csv,No
2021,49,KAB KULON PROGO,0.735,modis_neo_csv,No
2021,49,KAB SLEMAN,0.676,modis_neo_csv,No
2021,49,KOTA YOGYAKARTA,0.62,modis_neo_csv,No
2021,50,KAB BANTUL,0.66,modis_neo_csv,No
2021,50,KAB GUNUNG KIDUL,0.79,modis_neo_csv,No
2021,50,KAB KULON PROGO,0.735,modis_neo_csv,No
2021,50,KAB SLEMAN,0.676,modis_neo_csv,No
2021,50,KOTA YOGYAKARTA,0.62,modis_neo_csv,No
2021,51,KAB BANTUL,0.695,modis_neo_csv,No
2021,51,KAB GUNUNG KIDUL,0.833,modis_neo_csv,No
2021,51,KAB KULON PROGO,0.794,modis_neo_csv,No
2021,51,KAB SLEMAN,0.687,modis_neo_csv,No
2021,51,KOTA YOGYAKARTA,0.719,modis_neo_csv,No
2021,52,KAB BANTUL,0.695,modis_neo_csv,No
2021,52,KAB GUNUNG KIDUL,0.833,modis_neo_csv,No
2021,52,KAB KULON PROGO,0.794,modis_neo_csv,No
2021,52,KAB SLEMAN,0.687,modis_neo_csv,No
2021,52,KOTA YOGYAKARTA,0.719,modis_neo_csv,No
2022,1,KAB BANTUL,0.695,modis_neo_csv,No
2022,1,KAB GUNUNG KIDUL,0.813,modis_neo_csv,No
2022,1,KAB KULON PROGO,0.79,modis_neo_csv,No
2022,1,KAB SLEMAN,0.585,modis_neo_csv,No
2022,1,KOTA YOGYAKARTA,0.593,modis_neo_csv,No
2022,2,KAB BANTUL,0.695,modis_neo_csv,No
2022,2,KAB GUNUNG KIDUL,0.813,modis_neo_csv,No
2022,2,KAB KULON PROGO,0.79,modis_neo_csv,No
2022,2,KAB SLEMAN,0.585,modis_neo_csv,No
2022,2,KOTA YOGYAKARTA,0.593,modis_neo_csv,No
2022,3,KAB BANTUL,0.719,modis_neo_csv,No
2022,3,KAB GUNUNG KIDUL,0.841,modis_neo_csv,No
2022,3,KAB KULON PROGO,0.652,modis_neo_csv,No
2022,3,KAB SLEMAN,0.715,modis_neo_csv,No
2022,3,KOTA YOGYAKARTA,0.743,modis_neo_csv,No
2022,4,KAB BANTUL,0.719,modis_neo_csv,No
2022,4,KAB GUNUNG KIDUL,0.841,modis_neo_csv,No
2022,4,KAB KULON PROGO,0.652,modis_neo_csv,No
2022,4,KAB SLEMAN,0.715,modis_neo_csv,No
2022,4,KOTA YOGYAKARTA,0.743,modis_neo_csv,No
2022,5,KAB BANTUL,0.719,modis_neo_csv,No
2022,5,KAB GUNUNG KIDUL,0.841,modis_neo_csv,No
2022,5,KAB KULON PROGO,0.652,modis_neo_csv,No
2022,5,KAB SLEMAN,0.715,modis_neo_csv,No
2022,5,KOTA YOGYAKARTA,0.743,modis_neo_csv,No
2022,6,KAB BANTUL,0.727,modis_neo_csv,No
2022,6,KAB GUNUNG KIDUL,0.743,modis_neo_csv,No
2022,6,KAB KULON PROGO,0.802,modis_neo_csv,No
2022,6,KAB SLEMAN,0.731,modis_neo_csv,No
2022,6,KOTA YOGYAKARTA,0.77,modis_neo_csv,No
2022,7,KAB BANTUL,0.727,modis_neo_csv,No
2022,7,KAB GUNUNG KIDUL,0.743,modis_neo_csv,No
2022,7,KAB KULON PROGO,0.802,modis_neo_csv,No
2022,7,KAB SLEMAN,0.731,modis_neo_csv,No
2022,7,KOTA YOGYAKARTA,0.77,modis_neo_csv,No
